symbol,name,source,latest_date,fund_count,holding_shares,market_value,prev_date,fund_count_change,share_change,circulate_date,top10_inst_like,top_holders
SSE:601138,工业富联,fund_holders,2026-03-31,603.0,350373265.0,18030211226.0,2025-12-31,211.0,-483808060.0,,,
SSE:601138,工业富联,circulate_holders,,,,,,,,2026-03-31,1.0,China Galaxy Enterprise Limited；富泰华工业(深圳)有限公司；Ambit Microsystems (Cayman) Ltd.
SZSE:001389,广合科技,fund_holders,2026-03-31,55.0,7314950.0,850947569.0,2025-12-31,-414.0,-10524090.0,,,
SZSE:001389,广合科技,circulate_holders,,,,,,,,2026-03-31,7.0,HKSCC NOMINEES LIMITED；香港中央结算有限公司；长江证券创新投资(湖北)有限公司
SZSE:002290,禾盛新材,fund_holders,2026-03-31,26.0,6381202.0,386254055.0,2025-12-31,-111.0,-11331609.0,,,
SZSE:002290,禾盛新材,circulate_holders,,,,,,,,2026-03-31,6.0,上海摩尔智芯信息科技合伙企业(有限合伙)；卢大光；赵东明
SZSE:002463,沪电股份,fund_holders,2026-03-31,540.0,414107744.0,31459768622.0,2025-12-31,82.0,-277023866.0,,,
SZSE:002463,沪电股份,circulate_holders,,,,,,,,2026-03-31,7.0,"BIGGER ING(BVI)HOLDINGS CO.,LTD.；WUS GROUP HOLDINGS CO.,LTD.；香港中央结算有限公司"
SZSE:300308,中际旭创,fund_holders,2026-03-31,994.0,321884333.0,183276910400.0,,,,,,
SZSE:300308,中际旭创,circulate_holders,,,,,,,,2026-03-31,7.0,山东中际投资控股有限公司；香港中央结算有限公司；王伟修
SZSE:300394,天孚通信,fund_holders,2026-03-31,729.0,122302082.0,36863383392.0,2026-03-01,728.0,122301282.0,,,
SZSE:300394,天孚通信,circulate_holders,,,,,,,,2026-03-31,7.0,苏州天孚仁和投资管理有限公司；香港中央结算有限公司；朱国栋
SZSE:300476,胜宏科技,fund_holders,2026-03-31,373.0,67902695.0,17038590070.0,2026-02-01,372.0,67884695.0,,,
SZSE:300476,胜宏科技,circulate_holders,,,,,,,,2026-03-31,6.0,深圳市胜华欣业投资有限公司；胜宏科技集团(香港)有限公司；香港中央结算有限公司
SZSE:300502,新易盛,fund_holders,2026-03-31,993.0,371859068.0,164643006700.0,,,,,,
SZSE:300502,新易盛,circulate_holders,,,,,,,,2026-03-31,6.0,香港中央结算有限公司；LO JEFFREY CHIH；ROMAN SOKOLOV
SZSE:300548,长芯博创,fund_holders,2026-03-31,214.0,74710993.0,11419697450.0,2025-12-31,-570.0,-14474991.0,,,
SZSE:300548,长芯博创,circulate_holders,,,,,,,,2026-03-31,7.0,长飞光纤光缆股份有限公司；ZHU WEI；上海甄投资产管理有限公司－甄投创鑫45号私募证券投资基金
SZSE:300604,长川科技,fund_holders,2026-03-31,399.0,122140594.0,14784393380.0,2025-12-31,-200.0,-53245877.0,,,
SZSE:300604,长川科技,circulate_holders,,,,,,,,2026-03-31,6.0,赵轶；香港中央结算有限公司；杭州长川投资管理合伙企业(有限合伙)
SZSE:300857,协创数据,fund_holders,2026-03-31,192.0,26263792.0,5497537481.0,2025-12-31,-565.0,-10985686.0,,,
SZSE:300857,协创数据,circulate_holders,,,,,,,,2026-03-31,5.0,协创智慧科技有限公司；POWER CHANNEL LIMITED；宁琛
SZSE:301345,涛涛车业,fund_holders,2026-03-31,73.0,3933400.0,853547800.0,2025-12-31,-686.0,-16328726.0,,,
SZSE:301345,涛涛车业,circulate_holders,,,,,,,,2026-03-31,8.0,香港中央结算有限公司；缙云县众久投资合伙企业(有限合伙)；曹侠淑
SZSE:002916,深南电路,fund_holders,2026-03-31,199.0,58753139.0,12896900657.0,2025-12-31,-600.0,-87413372.0,,,
SZSE:002916,深南电路,circulate_holders,,,,,,,,2026-03-31,9.0,深天科技控股(深圳)有限公司；香港中央结算有限公司；平安银行股份有限公司－永赢科技智选混合型发起式证券投资基金
